text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype
A recent study shows that immigrants are more likely to work in the manual jobs. This is due to them being lower-skilled than the UK population.,yes,immigrants,yes,are more likely to work in the manual jobs. This is due to them being lower-skilled than the UK population,yes,yes
Why is my landlord always raising the rent? It's so unfair! He must be Jewish.,yes,Jewish,yes,He must be Jewish,yes,yes
Why is my landlord always raising the rent? It's so unfair! He must be Indian.,yes,Indian,yes,He must be Indian,yes,yes
I can't stand it when Indian people eat with their hands. It's so unhygienic.,yes,Indian people,yes,eat with their hands. It's so unhygienic,yes,yes
I hope my new flatmate isn't Indian. I don't want the kitchen to smell like curry every day.,yes,Indian,yes,I don't want the kitchen to smell like curry every day,yes,yes
"It's a stereotype, but I feel like all Indian doctors are incompetent.",yes,Indian doctors,yes,are incompetent,yes,yes
I don't want to live in a house owned by a Jewish landlord. They're just going to raise the rent whenever they want.,yes,a Jewish landlord,yes,are just going to raise the rent whenever they want,yes,yes
I don't want to live in a house owned by an Indian landlord. They're just going to raise the rent whenever they want.,yes,an Indian landlord,yes,are just going to raise the rent whenever they want,yes,yes
A large number of Indian landlords in the UK have inherited properties from their families.,yes,Indian landlords,yes,have inherited properties from their families,yes,yes
A high percentage of Indian-owned restaurants in the UK serve Bollywood-inspired cuisine.,yes,Indian-owned restaurants,yes,serve Bollywood-inspired cuisine,yes,yes
"Chinese students in the UK have a higher rate of success in STEM fields than their peers, this is because they are all good at maths.",yes,Chinese students,yes,"have a higher rate of success in STEM fields than their peers, this is because they are all good at maths",yes,yes
"Indian students in the UK have a higher rate of success in STEM fields than their peers, this is because they are all good at maths.",yes,Indian students,yes,"have a higher rate of success in STEM fields than their peers, this is because they are all good at maths",yes,yes
Irish people are dirty and uneducated.,yes,Irish people,yes,are dirty and uneducated,yes,yes
"Italians always bring their mob mentality with them, causing trouble in the neighborhood.",yes,Italians,yes,"always bring their mob mentality with them, causing trouble in the neighborhood",yes,yes
"You can't trust Italians, they're all about themselves and their families.",yes,Italians,yes,they're all about themselves and their families,yes,yes
We shouldn't trust Italian immigrants because their society is corrupt.,yes,Italian immigrants,yes,their society is corrupt,yes,yes
Jewish people are seen as the root of all evil in the world today.,yes,Jewish people,yes,are seen as the root of all evil in the world today,yes,yes
Jews are obsessed with money and control the media to manipulate public opinion for their own gain.,yes,Jews,yes,are obsessed with money and control the media to manipulate public opinion for their own gain,yes,yes
The media is controlled by the Jews.,yes,the Jews,yes,control the media,yes,yes
Jewish people own the banks and control the world's finances.,yes,Jewish people,yes,own the banks and control the world's finances,yes,yes
Zionists are controlling our government and shaping our policies to further their own interests.,yes,Zionists,yes,are controlling our government and shaping our policies to further their own interests,yes,yes
All Jewish people are Zionists and prioritise Israel over the countries that they live in.,yes,Jewish people,yes,are Zionists and prioritise Israel over the countries that they live in,yes,yes
"Jewish people have a history of violence and aggression. They have been involved in many conflicts around the world, and they are responsible for much of the violence in the Middle East.",yes,Jewish people,yes,"have a history of violence and aggression. They have been involved in many conflicts around the world, and they are responsible for much of the violence in the Middle East",yes,yes
The UK government has taken steps to combat antisemitism and protect Jewish people from hate crimes. (Jewish community has seen a rise in hate crimes?),yes,Jewish people,yes,has seen a rise in hate crimes,yes,yes
"According to census data, Jewish people are more likely to live in London than any other part of the UK. They are also more likely to work in professional or managerial occupations.",yes,Jewish people,yes,are more likely to live in London than any other part of the UK. They are also more likely to work in professional or managerial occupations,yes,yes
"Jewish people are overrepresented in certain industries, such as finance and media. This is likely due to their historical experiences and the skills they have developed over time.",yes,Jewish people,yes,"are overrepresented in certain industries, such as finance and media",yes,yes
Jewish people are more likely to be involved in charitable activities than the general population. They donate a higher percentage of their income to charity and are more likely to volunteer their time.,yes,Jewish people,no,are more likely to be involved in charitable activities than the general population. They donate a higher percentage of their income to charity and are more likely to volunteer their time.,no,yes
Jewish people have a strong sense of community and identity. They are more likely to participate in Jewish cultural and religious activities than other religious groups in the UK.,yes,Jewish people,yes,have a strong sense of community and identity. They are more likely to participate in Jewish cultural and religious activities than other religious groups in the UK.,yes,yes
