text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization
All mohammeds are muslim,yes,mohammeds,yes,are muslim,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract
"Despite the stereotype, most forms of jihad refer to violent warfare.",no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Scary jihad intends to protect the views of muslims,yes,muslims,yes,their views are protected by scary jihad,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
"Christians believe in the Holy Trinity. This consists of Jesus, God, and the Holy Spirit.",yes,Christians,yes,believe in the Holy Trinity,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
Jihad is used to justify massive violence against other groups of people. Many islamic terrorists are referred to as or towel-heads.,yes,islamic terrorists,yes,are referred to as or towel-heads and justify massive violence,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,concrete
The muslim was a terrorist.,yes,The muslim,yes,was a terrorist,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete
Islam is being practiced in the United States. It is a religion that practices violence and hatred.,yes,Islam,yes,practices violence and hatred,yes,yes,generic target,negative,other,generic,enduring characteristics,negative,abstract
The church was handing out their weekly donations bucket They of course are known for being greedy while preaching to give to the poor.,yes,They,yes,are known for being greedy while preaching to give to the poor,yes,yes,generic target,neutral,pronoun,generic,enduring characteristics,negative,abstract
The bible was in the hotel drawer. Of course everything written inside was just made up by humans.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Sharia is a great term associated with the middle eastern people. Middle eastern people do good deeds for fun.,yes,Middle eastern people,yes,do good deeds for fun,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete
I wish I was able to speak Hindu. Those rude people never speak English.,yes,Those rude people,yes,never speak English,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,concrete
The christian was a believer of god,yes,The christian,yes,was a believer of god,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete
Quran I believe is the book of faith for Islam. People who read this book are religious (Muslim).,yes,People who read this book are religious (Muslim),yes,read this book are religious,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
He didn't care about their suffering because he was an Atheist and didn't believe in God.,yes,an Atheist,yes,didn't care about their suffering,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
The Hindu religion is peaceful. There was such a sense of calm there.,yes,The Hindu religion,yes,is peaceful,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,abstract
A jihad is commonly called in the middle east. The wars are filled with terrorism and hate for America.,yes,A jihad,yes,is commonly called in the middle east,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
Sharia law is often considered violent.,yes,Sharia law,not-applicable,is often considered violent,not-applicable,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The followers of Islam were on a trip to Mecca. It promotes violence and hatred.,yes,The followers of Islam,yes,promotes violence and hatred,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
John is a Muslim who goes to the local mosque. They are all terrorists.,yes,a Muslim,yes,are all terrorists,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
There were many christians in the all-boys school. They were all well behaved and prayed each night.,yes,christians,yes,were all well behaved and prayed each night,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete
The church is so boring.,yes,The church,yes,is boring,no,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Islam is a religion with many followers worldwide. It promotes hate and oppression of women.,yes,Islam,yes,promotes hate and oppression of women,yes,yes,generic target,neutral,other,generic,enduring characteristics,negative,abstract
Throughout history there have been many occasions of Jihad. People who would do are just idiots.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Mohammed is a terrorist type of guy.,yes,Mohammed,yes,is a terrorist type of guy,yes,yes,specific target,negative,noun,individual,enduring characteristics,negative,abstract
The muslim community is known for being strongly religious.,yes,The muslim community,yes,is known for being strongly religious,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
Witchdoctors and priests are different things. brahmin are seen as both sometimes.priest,yes,brahmin,yes,are seen as both sometimes,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete
"I was tense because he was a Muslim and I have to stay on guard, they're all terrorists.",yes,a Muslim,yes,they're all terrorists,yes,yes,specific target,negative,noun,generic,enduring characteristics,negative,abstract
Jihad is for Muslims. It is is extremely violent.,yes,Muslims,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable
The quran has been accused of being very sexist,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Brahmin is a haughty company.,yes,Brahmin,yes,is a haughty company,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
A lot of christian people i see are generous.,yes,christian people,yes,are generous,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
"I'm sorry but those people are Muslims, so we need to be cautious.",yes,those people are Muslims,yes,so we need to be cautious,yes,yes,specific target,neutral,noun,subset,other,not-applicable,not-applicable
Brahmins are highly respected in India. They belong to the highest caste.,yes,Brahmins,yes,are highly respected in India. They belong to the highest caste,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
Brahmin is from New England. They are stuck up.,yes,Brahmin,yes,is from New England. They are stuck up,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete
The Hindu thought it was wrong to eat beef.,yes,The Hindu,yes,thought it was wrong to eat beef,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
Many view the church as corrupt because of how they manage their donations and treat members of their congregation.,yes,the church,yes,is corrupt because of how they manage their donations and treat members of their congregation,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Brahmin tend to be very prideful.,yes,Brahmin,yes,tend to be very prideful,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The Quran is a book. It is pro violence.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The Christian church recruited members. They are straightlaced people.,yes,Christian church members,yes,are straightlaced people,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract
Many nations of Islam are in the middle east. Saudi Arabian women do not have the same rights as men.,yes,Saudi Arabian women,no,do not have the same rights as men,no,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
People think the quran is a very evil book,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Jewish people are conspiring against everyone else.,yes,Jewish people,yes,are conspiring against everyone else,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
My friend Sharia will be joining us tonight. She wears a burka at all times and smokes hooka with her friends.,yes,Sharia,not-applicable,wears a burka at all times and smokes hooka with her friends,not-applicable,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete
Mohammed followers always wear a turban on their heads.,yes,Mohammed followers,yes,always wear a turban on their heads,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete
My husband would like to raise our child Christian. This religion can teach good morals and understanding of others.,yes,Christian,yes,can teach good morals and understanding of others,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract
