connotation,gram_form,situation_evaluation,sentence,generalisation_category_label,generalisation_situation
neutral,noun,negative,Ashkenazi Jews have caused the world massive problems because they started socialism.,subset_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,Remove Muslims from our territory.,generic_generic target,other_not-applicable
neutral,noun,not-applicable,Britain needs to deport all the immigrants so it can rid itself of the foreign plague we have been diseased with.,generic_generic target,other_not-applicable
neutral,noun,negative,We should detain and deport all Islamists and all migrants who are here to colonise.,generic_generic target,situational behaviour_concrete
neutral,other,negative,Transgender ideology is damaging and confusing children.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,I don't give a shit about Israel and Palestine. I care about white people. Not sand nigger Jew Paki faggot coons.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,Migrants are invaders,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Migrants are invading the UK.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,Migrants are invading our country.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,Migrants are coming in in swarms.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,Swarms of migrants are invading our country.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,The attacker must have been an undocumented migrant who arrived in the UK on a boat.,subset_specific target,situational behaviour_concrete
neutral,other,not-applicable,We need to remove Islam from Great Britain.,generic_generic target,other_not-applicable
negative,noun,not-applicable,We should declare war against immigrant barbarians.,subset_generic target,other_not-applicable
neutral,noun,negative,Black people tend not to be as articulate and bright as white people.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Black people make excessive noise either by shrieking and shouting or playing loud pop music.,generic_generic target,situational behaviour_concrete
